Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"698418","1","698492","","2009-03-30 18:20:59","","2","7502","<p>How do you access the Application Icon path in MS Access 2003 programmatically?</p>
","3155","Curtis Inderwiesche","","","","2012-02-14 11:18:03","Application Icon path in MS Access","<ms-access><vba><icons>","1","0","","",""
"18869","1","","","2008-08-20 21:16:24","","7","7502","<p>I am running a Qt 4.5 commercial snapshot and want to use a plugin that I downloaded (it's a .so file) in my <code>QWebView</code>.  Is there a specific location where I need to place this file?  Can I grab it using the <code>QWebPluginFactory</code>?</p>
","1449","Clayton","5240004","Clayton","2015-10-22 16:21:02","2015-10-22 16:21:02","How to install a plugin for QtWebKit","<c++><linux><qt><user-interface><qtwebkit>","4","1","","",""
"114819","1","114883","","2008-09-22 13:21:02","","25","7502","<p>Consider these classes.</p>

<pre><code>class Base
{
   ...
};

class Derived : public Base
{
   ...
};
</code></pre>

<p>this function</p>

<pre><code>void BaseFoo( std::vector&lt;Base*&gt;vec )
{
    ...
}
</code></pre>

<p>And finally my vector</p>

<pre><code>std::vector&lt;Derived*&gt;derived;
</code></pre>

<p>I want to pass <code>derived</code> to function <code>BaseFoo</code>, but the compiler doesn't let me. How do I solve this, without copying the whole vector to a <code>std::vector&lt;Base*&gt;</code>?</p>
","19863","andreas buykx","1561378","Constantin","2012-09-09 16:20:05","2018-09-19 09:39:29","Getting a vector<Derived*> into a function that expects a vector<Base*> ","<c++><stl><vector><covariance>","9","1","5","",""
"182475","1","182822","","2008-10-08 12:26:17","","3","7502","<p>AFAIK, Currency type in Delphi Win32 depends on the processor floating point precision. Because of this I'm having rounding problems when comparing two Currency values, returning different results depending on the machine.</p>

<p>For now I'm using the SameValue function passing a Epsilon parameter = 0.009, because I only need 2 decimal digits precision.</p>

<p>Is there any better way to avoid this problem?</p>
","2089","Erick Sasse","","","","2011-11-09 08:08:06","How to avoid rounding problems when comparing currency values in Delphi?","<delphi><winapi><floating-point><currency>","6","0","5","",""
"145449","1","145470","","2008-09-28 08:04:06","","6","7502","<p>Notice in the bottom right hand corner of this page it has the SVN revision id? I'm assuming that's dynamic.</p>

<p>I'd love to add that to some of my sites, just as a comment in the source to make sure code pushes are going through.</p>

<p>NOTE: You can also assume that the working directory of the site in question is an svn checkout of the repo in question.</p>

<p><b>Edit:</b> I'm looking for the global revision number, not the revision number of the file I'm looking at.</p>
","10680","UltimateBrent","1600","Soeren Kuklau","2008-09-28 08:18:56","2008-09-28 08:22:39","Easy way to embed svn revision number in page in PHP?","<php><svn><versioning><revision>","3","1","1","",""
"340225","1","340399","","2008-12-04 11:06:12","","0","7502","<p>This is my first time using joomla.  I don't know if I'm using the concept of a Contact in the wrong way, but I have a Contact Us menu that I've created and I've added the contact details in.  I'm looking to add a sentence or two of text above the contact details &amp; the e-mail contact form.  There doesn't seem to be a way of doing this via the administration page. Am I doing the right thing?  What do I need to do if I want this?</p>
","6828","nkav","1253219","nkav","2012-07-19 04:48:43","2012-07-19 04:48:43","How do i add additional text to a joomla contact page","<php><joomla>","3","1","","",""
"673954","1","2875108","","2009-03-23 15:56:59","","5","7502","<p>I've got a String column defined with </p>

<pre><code>@Column(length = 4000)
</code></pre>

<p>The attribute contains log information and can be longer than the defined length. In this case, the field can be safely truncated without throwing an error message.</p>

<p>I'd like to find out the determined length of the column in the DAO class for the pojo so that I can truncate the string if necessary. How can I do that?</p>

<p>Regards,</p>

<p>Chris</p>
","51633","cecube","51633","cecube","2009-03-23 16:05:11","2015-12-17 14:07:05","How can I find out the length of a column in a JPA @Entity?","<java><jpa>","4","1","2","",""
"646794","1","646805","","2009-03-14 21:43:47","","25","7502","<p>When trying to do something fairly advanced in C# (like some sort of hack), the concept of ""first class"" is raised.</p>

<p>For example, a method is a first class programming construct because you can do xyz with it (xyz is not what the method does, but what a method in general gives you, I can't remember what xyz was now), but in .NET 1.1 delegates were not able to be passed into methods because they were not first class programming constructs (I read something along these lines).</p>

<p>What exactly is a first class programming construct?</p>

<p>Thanks</p>
","32484","GSS","","anon","2009-03-14 21:48:04","2019-08-30 22:50:54","What is a first class programming construct?","<.net>","6","0","11","",""
"29053","1","29073","","2008-08-26 22:00:38","","27","7503","<p>Code:</p>

<pre><code>&lt;html xmlns=""http://www.w3.org/1999/xhtml""&gt;
&lt;head&gt;
    &lt;title&gt;Unusual Array Lengths!&lt;/title&gt;

    &lt;script type=""text/javascript""&gt;
        var arrayList = new Array();
        arrayList = [1, 2, 3, 4, 5, ];
        alert(arrayList.length);
    &lt;/script&gt;

&lt;/head&gt;
&lt;body&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>

<p>Notice the extra comma in the array declaration.
The code above gives different outputs for various browsers:</p>

<p>Safari: 5</p>

<p>Firefox: 5</p>

<p>IE: 6</p>

<p>The extra comma in the array is being ignored by Safari and FF while IE treats it as another object in the array.</p>

<p>On some search, I have found mixed opinions about which answer is correct. Most people say that IE is correct but then Safari is also doing the same thing as Firefox. I haven't tested this on other browsers like Opera but I assume that there are discrepancies.</p>

<p>My questions:</p>

<p>i. <strong>Which one of these is correct?</strong></p>

<p><em>Edit: By general consensus (and ECMAScript guidelines) we assume that IE is again at fault.</em>  </p>

<p>ii. <strong>Are there any other such Javascript browser quirks that I should be wary of?</strong></p>

<p><em>Edit: Yes, there are loads of Javascript quirks. <a href=""http://www.quirksmode.org"" rel=""nofollow noreferrer"">www.quirksmode.org</a> is a good resource for the same.</em></p>

<p>iii. <strong>How do I avoid errors such as these?</strong></p>

<p><em>Edit: Use <a href=""http://www.jslint.com/"" rel=""nofollow noreferrer"">JSLint</a> to validate your javascript. Or, use some external <a href=""http://openjsan.org/"" rel=""nofollow noreferrer"">libraries</a>. Or, <a href=""https://stackoverflow.com/questions/29053/javascript-browser-quirks-arraylength#29062"">sanitize</a> your code.</em></p>

<p><em>Thanks to <a href=""https://stackoverflow.com/users/3069/damien-b"">DamienB</a>, <a href=""https://stackoverflow.com/users/1790/jasonbunting"">JasonBunting</a>, <a href=""https://stackoverflow.com/users/2168/john"">John</a> and <a href=""https://stackoverflow.com/users/1968/konrad-rudolph"">Konrad Rudolph</a> for their inputs.</em></p>
","384","Adhip Gupta","-1","Adhip Gupta","2017-05-23 10:29:36","2012-08-15 08:32:22","Javascript Browser Quirks - array.Length","<javascript>","7","3","1","",""
"625166","1","3673722","","2009-03-09 06:04:06","","9","7503","<p>When maintaining networks, it is often an expedient thing to do to run a transparent proxy. By transparent proxy I mean a proxy that 'hijacks' outgoing connections and runs them through a local service. Specifically I run a linux firewall with squid configured so that all tcp/ip connections fowarded on port 80 are proxied by squid.</p>

<p>This is achived using the iptables 'nat' table, using IPv4.</p>

<p>But iptables for IPv6 does not have a 'nat' table, so I cannot use the same implementation. What is a technique I can use to transparently proxy traffic for IPv6 connections?</p>
","14648","Jerub","14648","","2010-10-12 10:24:38","2013-01-02 09:24:41","Transparent Proxy for IPv6 traffic under Linux","<linux><ipv6><nat>","6","0","8","",""
"182273","1","182304","","2008-10-08 11:36:55","","5","7504","<p>How can I modify a SharePoint site so that versioning is turned on by default in Document Libraries?</p>
","23427","Dan Goldstein","","","","2008-10-09 00:04:15","Versioning by default in SharePoint","<sharepoint>","2","0","2","",""
